Date,^DJI(t-1),^DJI(t)
2022-03-09,32632.640625,33286.25
2022-03-10,33286.25,33174.0703125
2022-03-11,33174.0703125,32944.19140625
2022-03-14,32944.19140625,32945.23828125
2022-03-15,32945.23828125,33544.33984375
2022-03-16,33544.33984375,34063.1015625
2022-03-17,34063.1015625,34480.76171875
2022-03-18,34480.76171875,34754.9296875
2022-03-21,34754.9296875,34552.98828125
2022-03-22,34552.98828125,34807.4609375
2022-03-23,34807.4609375,34358.5
2022-03-24,34358.5,34707.94140625
2022-03-25,34707.94140625,34861.23828125
2022-03-28,34861.23828125,34955.890625
2022-03-29,34955.890625,35294.19140625
2022-03-30,35294.19140625,35228.80859375
2022-03-31,35228.80859375,34678.3515625
2022-04-01,34678.3515625,34818.26953125
2022-04-04,34818.26953125,34921.87890625
2022-04-05,34921.87890625,34641.1796875
2022-04-06,34641.1796875,34496.51171875
2022-04-07,34496.51171875,34583.5703125
2022-04-08,34583.5703125,34721.12109375
2022-04-11,34721.12109375,34308.078125
2022-04-12,34308.078125,34220.359375
2022-04-13,34220.359375,34564.58984375
2022-04-14,34564.58984375,34451.23046875
2022-04-18,34451.23046875,34411.69140625
2022-04-19,34411.69140625,34911.19921875
2022-04-20,34911.19921875,35160.7890625
2022-04-21,35160.7890625,34792.76171875
2022-04-22,34792.76171875,33811.3984375
2022-04-25,33811.3984375,34049.4609375
2022-04-26,34049.4609375,33240.1796875
2022-04-27,33240.1796875,33301.9296875
2022-04-28,33301.9296875,33916.390625
2022-04-29,33916.390625,32977.2109375
2022-05-02,32977.2109375,33061.5
2022-05-03,33061.5,33128.7890625
2022-05-04,33128.7890625,34061.05859375
2022-05-05,34061.05859375,32997.96875
2022-05-06,32997.96875,32899.37109375
2022-05-09,32899.37109375,32245.69921875
2022-05-10,32245.69921875,32160.740234375
