Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^DJI,^DJI,^DJI,^DJI,^DJI,^DJI
Date,,,,,,
2018-04-17,24786.630859375,24786.630859375,24858.970703125,24681.7890625,24681.7890625,342410000
2018-04-18,24748.0703125,24748.0703125,24832.5390625,24721.08984375,24820.849609375,302030000
2018-04-19,24664.890625,24664.890625,24762.48046875,24557.029296875,24711.30078125,381110000
2018-04-20,24462.939453125,24462.939453125,24678.0703125,24375.0390625,24657.390625,537770000
2018-04-23,24448.689453125,24448.689453125,24536.890625,24328.5390625,24488.0703125,351030000
2018-04-24,24024.130859375,24024.130859375,24579.939453125,23828.73046875,24579.939453125,468180000
2018-04-25,24083.830078125,24083.830078125,24146.33984375,23823.080078125,24070.19921875,437100000
2018-04-26,24322.33984375,24322.33984375,24402.4609375,24128.720703125,24128.720703125,390360000
2018-04-27,24311.189453125,24311.189453125,24359.380859375,24194.44921875,24342.140625,392810000
2018-04-30,24163.150390625,24163.150390625,24498.23046875,24163.080078125,24410.41015625,416650000
2018-05-01,24099.05078125,24099.05078125,24117.2890625,23808.189453125,24117.2890625,380070000
2018-05-02,23924.98046875,23924.98046875,24185.51953125,23886.30078125,24097.630859375,385350000
2018-05-03,23930.150390625,23930.150390625,23996.150390625,23531.310546875,23836.23046875,389240000
2018-05-04,24262.509765625,24262.509765625,24333.349609375,23778.869140625,23865.220703125,329480000
2018-05-07,24357.3203125,24357.3203125,24479.44921875,24263.419921875,24317.66015625,307670000
2018-05-08,24360.2109375,24360.2109375,24412.33984375,24198.33984375,24341.349609375,344940000
2018-05-09,24542.5390625,24542.5390625,24586.48046875,24323.869140625,24399.1796875,361580000
2018-05-10,24739.529296875,24739.529296875,24794.990234375,24575.91015625,24591.66015625,304210000
2018-05-11,24831.169921875,24831.169921875,24868.650390625,24717.5,24758.640625,274150000
2018-05-14,24899.41015625,24899.41015625,24994.189453125,24862.51953125,24879.369140625,282860000
2018-05-15,24706.41015625,24706.41015625,24809.55078125,24629.390625,24809.55078125,301900000
2018-05-16,24768.9296875,24768.9296875,24801.189453125,24672.7890625,24722.3203125,280810000
2018-05-17,24713.98046875,24713.98046875,24839.490234375,24639.400390625,24752.400390625,314650000
2018-05-18,24715.08984375,24715.08984375,24774.970703125,24664.869140625,24707.720703125,269700000
2018-05-21,25013.2890625,25013.2890625,25086.490234375,24883.060546875,24883.060546875,308920000
2018-05-22,24834.41015625,24834.41015625,25064.990234375,24812.060546875,25047.55078125,288200000
2018-05-23,24886.810546875,24886.810546875,24889.4609375,24667.119140625,24757.7109375,399610000
2018-05-24,24811.759765625,24811.759765625,24877.359375,24605.900390625,24877.359375,347050000
2018-05-25,24753.08984375,24753.08984375,24824.220703125,24687.810546875,24781.2890625,257210000
2018-05-29,24361.44921875,24361.44921875,24635.1796875,24247.83984375,24606.58984375,395810000
2018-05-30,24667.779296875,24667.779296875,24714.48046875,24459.08984375,24467.830078125,324870000
2018-05-31,24415.83984375,24415.83984375,24620.7890625,24352.150390625,24620.7890625,429740000
2018-06-01,24635.2109375,24635.2109375,24673.599609375,24542.08984375,24542.08984375,315710000
2018-06-04,24813.689453125,24813.689453125,24859.369140625,24722.140625,24727.55078125,340400000
2018-06-05,24799.98046875,24799.98046875,24838.779296875,24710.8203125,24820.119140625,306340000
2018-06-06,25146.390625,25146.390625,25146.4609375,24854.140625,24854.140625,316090000
2018-06-07,25241.41015625,25241.41015625,25326.08984375,25164.48046875,25192.140625,357680000
2018-06-08,25316.529296875,25316.529296875,25325.630859375,25165.69921875,25209.2890625,317510000
2018-06-11,25322.310546875,25322.310546875,25402.830078125,25290.19921875,25336.669921875,276740000
2018-06-12,25320.73046875,25320.73046875,25364.369140625,25247.0390625,25346.8203125,265750000
2018-06-13,25201.19921875,25201.19921875,25362.0703125,25191.419921875,25328.650390625,329700000
2018-06-14,25175.310546875,25175.310546875,25332.5,25138.599609375,25254.650390625,341170000
2018-06-15,25090.48046875,25090.48046875,25130.8203125,24894.380859375,25116.7109375,659370000
2018-06-18,24987.470703125,24987.470703125,25003.099609375,24825.76953125,24944.279296875,337070000
2018-06-19,24700.2109375,24700.2109375,24763.58984375,24567.75,24763.58984375,376380000
2018-06-20,24657.80078125,24657.80078125,24804.759765625,24628.390625,24771.169921875,359520000
2018-06-21,24461.69921875,24461.69921875,24639.2109375,24406.630859375,24639.2109375,349570000
2018-06-22,24580.890625,24580.890625,24663.1796875,24526.970703125,24526.970703125,473970000
2018-06-25,24252.80078125,24252.80078125,24463.73046875,24084.390625,24463.73046875,439130000
2018-06-26,24283.109375,24283.109375,24384.2109375,24241.220703125,24281.890625,301130000
2018-06-27,24117.58984375,24117.58984375,24569.01953125,24115.8203125,24303.109375,313790000
2018-06-28,24216.05078125,24216.05078125,24308.16015625,23997.2109375,24064.189453125,305020000
